Ps,Fd,Wv,Wn,Wd1,Tv,actuator_damping,actuator_force,angular_disp,current,load_flow,load_pressure,orifice_flow,spool_physical_disp,fault
210000000,3,940,224,627,0.5,-2183.990714,60.30405988,0.3488838775,0.2576031223,4.05E-05,-1038985.643,3.41E-05,1.03E-05,yes
210000000,3,940,224,627,0.5,-795.3489299,40.60249255,0.3736224434,0.1878687419,1.45E-05,-369249.7247,2.44E-05,7.53E-06,yes
210000000,3,940,224,627,0.5,-22.71619729,20.03918729,0.3899705485,0.1145223546,4.05E-07,-1309.691779,1.42E-05,4.60E-06,yes
210000000,3,940,224,627,0.5,136.5558074,-0.9359000171,0.3975670181,0.03836774117,-2.39E-06,66350.24825,3.73E-06,1.56E-06,yes
210000000,3,940,224,627,0.5,480.2781927,-22.63137741,0.3963852946,-0.06284355958,-8.23E-06,223897.6591,-6.89E-06,-2.49E-06,yes
210000000,3,940,224,627,0.5,1266.93421,-44.00264047,0.3860798513,-0.1390026646,-2.13E-05,598303.1164,-1.74E-05,-5.54E-06,yes
210000000,3,940,224,627,0.5,1925.691495,-60.54031148,0.3671388386,-0.2110415806,-3.18E-05,912500.5792,-2.79E-05,-8.56E-06,yes
210000000,3,940,224,627,0.5,2581.147555,-82.54192582,0.3399711249,-0.2793077362,-4.19E-05,1222409.799,-3.69E-05,-1.11E-05,yes
210000000,3,940,224,627,0.5,3422.999651,-99.66411316,0.3051787462,-0.341157393,-5.46E-05,1625898.012,-4.55E-05,-1.36E-05,yes
210000000,3,940,224,627,0.5,4630.894218,-114.3305447,0.2635382282,-0.3955723797,-7.25E-05,2209669.116,-5.31E-05,-1.58E-05,yes
210000000,3,940,224,627,0.5,4329.948117,-126.1185834,0.21598176,-0.441261964,-6.67E-05,2056668.069,-5.96E-05,-1.76E-05,yes
210000000,3,940,224,627,0.5,4122.320555,-137.8509675,0.1635755412,-0.477275081,-6.24E-05,1949349.113,-6.41E-05,-1.90E-05,yes
210000000,3,940,224,627,0.5,4301.261904,-142.7583199,0.1075018725,-0.5031590278,-6.41E-05,2034492.947,-6.82E-05,-2.01E-05,yes
210000000,3,940,224,627,0.5,4865.030721,-147.8341178,0.04901288736,-0.518278547,-7.13E-05,2307826.127,-7.02E-05,-2.07E-05,yes
210000000,3,940,224,627,0.5,7743.509423,-146.2886527,-0.01057833237,-0.5217055568,-0.0001116594939,3716839.907,-7.08E-05,-2.09E-05,yes
210000000,3,940,224,627,0.5,5963.029014,-142.7788687,-0.06993222783,-0.5134273878,-8.46E-05,2847480.502,-6.99E-05,-2.05E-05,yes
210000000,3,940,224,627,0.5,1771.680413,-135.7692236,-0.1277224966,-0.4927714081,-2.48E-05,800347.9401,-6.69E-05,-1.97E-05,yes
210000000,3,940,224,627,0.5,2935.282658,-130.4223105,-0.1826260446,-0.4642163737,-4.04E-05,1372240.874,-6.23E-05,-1.85E-05,yes
210000000,3,940,224,627,0.5,5310.415218,-117.5008009,-0.2334276618,-0.4259741787,-7.20E-05,2540564.783,-5.74E-05,-1.71E-05,yes
210000000,3,940,224,627,0.5,6098.790659,-101.2850271,-0.2790070197,-0.3758896911,-8.15E-05,2934200.407,-5.06E-05,-1.51E-05,yes
210000000,3,940,224,627,0.5,4299.417802,-84.28736355,-0.3183165997,-0.317344212,-5.66E-05,2062196.888,-4.25E-05,-1.27E-05,yes
210000000,3,940,224,627,0.5,833.2684533,-65.40978594,-0.3504703163,-0.2529144005,-1.08E-05,375664.7101,-3.35E-05,-1.01E-05,yes
210000000,3,940,224,627,0.5,-1321.561773,-45.80727129,-0.3747509193,-0.1837175133,1.69E-05,-668967.2427,-2.38E-05,-7.37E-06,yes
210000000,3,940,224,627,0.5,81.32099565,-25.8249294,-0.3906178599,-0.1104585401,-1.03E-06,27150.71735,-1.36E-05,-4.43E-06,yes
210000000,3,940,224,627,0.5,1381.256394,-4.302904002,-0.3977219601,-0.03394329342,-1.72E-05,673656.3062,-3.15E-06,-1.38E-06,yes
210000000,3,940,224,627,0.5,625.503975,18.40012157,-0.3960376733,0.06784445026,-7.68E-06,315021.5737,7.59E-06,2.70E-06,yes
210000000,3,940,224,627,0.5,-2666.771762,39.45549651,-0.385237626,0.1434232646,3.23E-05,-1285379.778,1.80E-05,5.71E-06,yes
210000000,3,940,224,627,0.5,-5784.204881,59.62431782,-0.3658233229,0.2156300288,6.91E-05,-2800675.422,2.81E-05,8.60E-06,yes
210000000,3,940,224,627,0.5,-7936.992151,77.07468402,-0.338206151,0.2824403532,9.36E-05,-3845360.796,3.75E-05,1.13E-05,yes
210000000,3,940,224,627,0.5,-6052.67947,93.56874,-0.3030037659,0.3428722565,7.05E-05,-2915416.208,4.61E-05,1.37E-05,yes
210000000,3,940,224,627,0.5,-887.6105107,109.0648688,-0.2610040419,0.3960853016,1.02E-05,-380893.1712,5.31E-05,1.58E-05,yes
210000000,3,940,224,627,0.5,-1706.302201,122.0386987,-0.2131557763,0.4423347933,1.94E-05,-775079.9915,5.94E-05,1.77E-05,yes
